Date,Ticker,Adj Close,Close,High,Low,Open,Volume
01/10/2019,BBCA.JK,5426.91455078125,6040.0,6065.0,6010.0,6010.0,40057000
02/10/2019,BBCA.JK,5435.89892578125,6050.0,6070.0,6010.0,6010.0,52376500
03/10/2019,BBCA.JK,5426.91455078125,6040.0,6045.0,5950.0,6010.0,50269000
04/10/2019,BBCA.JK,5431.40673828125,6045.0,6065.0,5980.0,5980.0,56890500
07/10/2019,BBCA.JK,5453.86962890625,6070.0,6080.0,6050.0,6070.0,56705500
08/10/2019,BBCA.JK,5480.82373046875,6100.0,6100.0,6015.0,6080.0,46997500
09/10/2019,BBCA.JK,5453.86962890625,6070.0,6100.0,6050.0,6100.0,41496500
10/10/2019,BBCA.JK,5489.80908203125,6110.0,6110.0,6020.0,6020.0,65806500
11/10/2019,BBCA.JK,5503.2861328125,6125.0,6155.0,6080.0,6080.0,40863500
14/10/2019,BBCA.JK,5570.67236328125,6200.0,6200.0,6130.0,6130.0,37514500
15/10/2019,BBCA.JK,5548.2109375,6175.0,6190.0,6145.0,6190.0,40935000
16/10/2019,BBCA.JK,5584.1494140625,6215.0,6215.0,6175.0,6200.0,65776500
17/10/2019,BBCA.JK,5494.30078125,6115.0,6210.0,6105.0,6185.0,45666500
18/10/2019,BBCA.JK,5534.7333984375,6160.0,6170.0,6140.0,6160.0,41008500
21/10/2019,BBCA.JK,5588.642578125,6220.0,6255.0,6185.0,6200.0,59971500
22/10/2019,BBCA.JK,5660.52197265625,6300.0,6300.0,6225.0,6270.0,67259500
23/10/2019,BBCA.JK,5638.060546875,6275.0,6305.0,6260.0,6300.0,62219000
24/10/2019,BBCA.JK,5660.52197265625,6300.0,6320.0,6270.0,6290.0,73101000
25/10/2019,BBCA.JK,5570.67236328125,6200.0,6325.0,6175.0,6320.0,61929500
28/10/2019,BBCA.JK,5575.1650390625,6205.0,6250.0,6200.0,6200.0,43249500
29/10/2019,BBCA.JK,5588.642578125,6220.0,6240.0,6150.0,6205.0,79861500
30/10/2019,BBCA.JK,5629.07470703125,6265.0,6285.0,6200.0,6280.0,60738000
31/10/2019,BBCA.JK,5651.5380859375,6290.0,6300.0,6250.0,6270.0,58420500
01/11/2019,BBCA.JK,5682.9853515625,6325.0,6325.0,6275.0,6300.0,42080500
04/11/2019,BBCA.JK,5638.060546875,6275.0,6380.0,6260.0,6350.0,43794500
05/11/2019,BBCA.JK,5714.4326171875,6360.0,6360.0,6270.0,6350.0,66161500
06/11/2019,BBCA.JK,5656.02978515625,6295.0,6380.0,6295.0,6380.0,63393000
07/11/2019,BBCA.JK,5647.044921875,6285.0,6335.0,6250.0,6335.0,61972000
08/11/2019,BBCA.JK,5642.552734375,6280.0,6315.0,6250.0,6315.0,90040500
11/11/2019,BBCA.JK,5656.02978515625,6295.0,6340.0,6265.0,6335.0,70207000
12/11/2019,BBCA.JK,5629.07470703125,6265.0,6280.0,6220.0,6220.0,47635500
13/11/2019,BBCA.JK,5642.552734375,6280.0,6285.0,6265.0,6265.0,40083500
14/11/2019,BBCA.JK,5633.5673828125,6270.0,6280.0,6210.0,6265.0,37862000
15/11/2019,BBCA.JK,5638.060546875,6275.0,6290.0,6255.0,6280.0,47138000
18/11/2019,BBCA.JK,5642.552734375,6280.0,6285.0,6210.0,6245.0,65599000
19/11/2019,BBCA.JK,5674.00048828125,6315.0,6350.0,6300.0,6330.0,60115000
20/11/2019,BBCA.JK,5705.447265625,6350.0,6350.0,6255.0,6255.0,43229500
21/11/2019,BBCA.JK,5660.52197265625,6300.0,6350.0,6300.0,6350.0,57523500
22/11/2019,BBCA.JK,5665.015625,6305.0,6310.0,6270.0,6280.0,56035000
25/11/2019,BBCA.JK,5638.060546875,6275.0,6335.0,6275.0,6330.0,55133500
26/11/2019,BBCA.JK,5647.044921875,6285.0,6330.0,6270.0,6330.0,192783500
27/11/2019,BBCA.JK,5660.52197265625,6300.0,6300.0,6240.0,6270.0,58833500
28/11/2019,BBCA.JK,5615.59716796875,6250.0,6295.0,6245.0,6295.0,44248000
29/11/2019,BBCA.JK,5642.552734375,6280.0,6295.0,6225.0,6230.0,52954500
02/12/2019,BBCA.JK,5772.83447265625,6425.0,6425.0,6270.0,6280.0,49909000
03/12/2019,BBCA.JK,5727.90966796875,6375.0,6420.0,6345.0,6420.0,42823000
04/12/2019,BBCA.JK,5718.92529296875,6365.0,6400.0,6355.0,6360.0,37552000
05/12/2019,BBCA.JK,5696.4619140625,6340.0,6385.0,6330.0,6360.0,54168000
06/12/2019,BBCA.JK,5764.0634765625,6395.0,6395.0,6320.0,6340.0,69920500
09/12/2019,BBCA.JK,5764.0634765625,6395.0,6395.0,6360.0,6370.0,51667500
10/12/2019,BBCA.JK,5737.02294921875,6365.0,6400.0,6360.0,6395.0,57654000
11/12/2019,BBCA.JK,5750.54296875,6380.0,6385.0,6350.0,6365.0,48469000
12/12/2019,BBCA.JK,5714.48876953125,6340.0,6405.0,6340.0,6400.0,79198500
13/12/2019,BBCA.JK,5732.5166015625,6360.0,6420.0,6350.0,6395.0,70822500
16/12/2019,BBCA.JK,5732.5166015625,6360.0,6395.0,6340.0,6340.0,78684000
17/12/2019,BBCA.JK,5858.703125,6500.0,6500.0,6365.0,6395.0,102914500
18/12/2019,BBCA.JK,6088.54541015625,6755.0,6800.0,6440.0,6500.0,181804000
19/12/2019,BBCA.JK,5948.837890625,6600.0,6720.0,6590.0,6700.0,74171000
20/12/2019,BBCA.JK,6002.91796875,6660.0,6740.0,6610.0,6680.0,99453000
23/12/2019,BBCA.JK,6002.91796875,6660.0,6730.0,6650.0,6680.0,46558500
26/12/2019,BBCA.JK,6020.94384765625,6680.0,6725.0,6660.0,6660.0,38188500
27/12/2019,BBCA.JK,6034.46533203125,6695.0,6700.0,6670.0,6670.0,29945000
30/12/2019,BBCA.JK,6025.451171875,6685.0,6720.0,6670.0,6680.0,61168000
02/01/2020,BBCA.JK,6029.95849609375,6690.0,6780.0,6680.0,6695.0,49445000
03/01/2020,BBCA.JK,6129.10498046875,6800.0,6800.0,6725.0,6750.0,47755500
06/01/2020,BBCA.JK,6070.51806640625,6735.0,6750.0,6690.0,6720.0,27300000
07/01/2020,BBCA.JK,6075.0244140625,6740.0,6770.0,6730.0,6735.0,45022500
08/01/2020,BBCA.JK,6020.94384765625,6680.0,6745.0,6670.0,6670.0,53692500
09/01/2020,BBCA.JK,6075.0244140625,6740.0,6755.0,6730.0,6740.0,40363500
10/01/2020,BBCA.JK,6061.50439453125,6725.0,6825.0,6710.0,6765.0,73362000
13/01/2020,BBCA.JK,6079.53125,6745.0,6760.0,6735.0,6740.0,67855000
14/01/2020,BBCA.JK,6192.19921875,6870.0,6885.0,6740.0,6745.0,93582000
15/01/2020,BBCA.JK,6160.65234375,6835.0,7060.0,6800.0,6870.0,75623500
16/01/2020,BBCA.JK,6174.17138671875,6850.0,6890.0,6795.0,6805.0,88931500
17/01/2020,BBCA.JK,6196.70556640625,6875.0,6890.0,6800.0,6840.0,38249500
20/01/2020,BBCA.JK,6160.65234375,6835.0,6975.0,6830.0,6950.0,93554500
21/01/2020,BBCA.JK,6156.14501953125,6830.0,6895.0,6825.0,6885.0,103984500
22/01/2020,BBCA.JK,6165.15869140625,6840.0,6895.0,6835.0,6855.0,94311500
23/01/2020,BBCA.JK,6165.15869140625,6840.0,6895.0,6830.0,6885.0,87728000
24/01/2020,BBCA.JK,6138.1181640625,6810.0,6880.0,6810.0,6820.0,69653500
27/01/2020,BBCA.JK,6165.15869140625,6840.0,6940.0,6815.0,6865.0,39679000
28/01/2020,BBCA.JK,6120.09228515625,6790.0,6845.0,6755.0,6835.0,82615000
29/01/2020,BBCA.JK,6115.5849609375,6785.0,6845.0,6770.0,6800.0,43821000
30/01/2020,BBCA.JK,6075.0244140625,6740.0,6845.0,6730.0,6845.0,71990000
31/01/2020,BBCA.JK,5840.6767578125,6480.0,6805.0,6480.0,6800.0,163136500
03/02/2020,BBCA.JK,5804.62255859375,6440.0,6585.0,6370.0,6480.0,149797000
04/02/2020,BBCA.JK,5948.837890625,6600.0,6620.0,6520.0,6570.0,113316500
05/02/2020,BBCA.JK,6066.01171875,6730.0,6780.0,6650.0,6780.0,123002500
06/02/2020,BBCA.JK,6075.0244140625,6740.0,6780.0,6680.0,6740.0,154693500
07/02/2020,BBCA.JK,6093.05126953125,6760.0,6780.0,6705.0,6710.0,82609000
10/02/2020,BBCA.JK,6115.5849609375,6785.0,6785.0,6630.0,6760.0,66578500
11/02/2020,BBCA.JK,6111.07861328125,6780.0,6785.0,6745.0,6785.0,77526500
12/02/2020,BBCA.JK,6129.10498046875,6800.0,6800.0,6760.0,6800.0,69971500
13/02/2020,BBCA.JK,6120.09228515625,6790.0,6820.0,6740.0,6820.0,49737000
14/02/2020,BBCA.JK,6020.94384765625,6680.0,6795.0,6675.0,6780.0,147028500
17/02/2020,BBCA.JK,6056.998046875,6720.0,6750.0,6680.0,6680.0,115319000
18/02/2020,BBCA.JK,6034.46533203125,6695.0,6720.0,6670.0,6685.0,98436500
19/02/2020,BBCA.JK,6034.46533203125,6695.0,6760.0,6665.0,6665.0,74594000
20/02/2020,BBCA.JK,5944.33056640625,6595.0,6695.0,6565.0,6690.0,136724500
21/02/2020,BBCA.JK,5962.3583984375,6615.0,6660.0,6595.0,6600.0,98261000
24/02/2020,BBCA.JK,5881.23681640625,6525.0,6600.0,6510.0,6565.0,84910000
25/02/2020,BBCA.JK,5885.744140625,6530.0,6560.0,6510.0,6550.0,86446500
